Apps_for_Android games:2615363.097386 play:2308791.080128 graphics:1754627.161574 kindle:1741894.243751 addicting:1566181.437874 addictive:1434746.494228 challenging:1135311.556576 coins:961392.694882 fire:932261.856443 playing:877190.732708 puzzles:708816.432850 apps:613621.437725 free:565175.762045 levels:521487.775495 download:503042.640402 ads:411242.362174 downloaded:410686.637906 bingo:402979.372593 gameplay:309101.476045 mahjong:306998.916430 flappy:298062.045779 solitaire:297083.681802 uninstalled:279647.709704 facebook:260431.885095 waster:252397.057602 puzzle:240153.103930 played:206007.712597 faotd:205222.896631 awesome:194781.198199 android:189808.312972 deleted:187272.354620 bought:179809.539044 permissions:166703.115238 quality:166154.637271 price:164261.699856 minecraft:163602.465824 addicted:161955.519501 glitches:160968.398328 challenge:149603.017033 earn:148135.425907 delete:143812.667757 freezes:140193.359158 reading:137687.800633 author:137679.598459 made:136987.860216 fit:132689.860000 years:131710.495950 uninstall:119900.797723 downloading:117890.096944 series:115733.650934 unlock:115388.149294 crashes:113390.667870 characters:112021.602769 written:111245.532457 cool:110424.674835 brain:109222.808943 multiplayer:107620.747955 perfect:100695.274171 sims:98477.652353 size:95704.802169 hints:94971.788218 tetris:92735.178376 logos:91916.444489 appstore:91729.536336 bored:90759.306983 small:90607.132216 put:88168.907030 end:88121.365093 temple:87612.764523 back:87601.951987 developer:86637.244851 sudoku:86206.104264 light:85458.703938 awsome:85211.031610 feel:84187.462998	
Automotive honda:1017419.655578 jeep:868880.698570 vehicle:867435.705867 oem:861640.659461 toyota:820145.914016 installed:651990.051351 engine:612154.740066 headlights:555170.196319 wiper:525623.136244 dealer:450232.748370 fit:429196.456751 chevy:412779.129877 dealership:412413.273314 tire:411625.582602 brake:402700.254287 ford:388455.335883 headlight:375575.059047 installation:358526.234450 wipers:345376.034063 bmw:343066.548860 tires:340477.517971 nissan:335206.466423 rear:327909.960012 mats:325657.072685 dodge:314261.546317 windshield:312221.101861 hitch:310512.898482 silverado:286639.410426 factory:274450.576280 mpg:271791.099675 lights:262783.409050 vehicles:260796.584798 exhaust:255891.583666 mechanic:254897.315044 passenger:248592.516178 motorcycle:245636.322485 steering:242763.314809 filter:224355.157702 bolts:222548.712485 muffler:221311.195522 gmc:220729.167277 mazda:219112.482302 bumper:215702.938625 subaru:215400.459727 helmet:211035.291288 cars:210101.731910 camry:208797.902886 rotors:208700.548192 trailer:207465.275282 wrangler:206591.074042 fuel:206513.222865 tailgate:206420.288372 decal:199639.346553 dorman:193825.668620 wheel:188652.228326 civic:187279.098802 tacoma:179468.524595 vw:174192.702436 weathertech:173678.921755 bolt:167405.437478 corolla:166809.295312 autozone:166515.230900 auto:161705.677915 replacement:158903.378333 sticker:158768.426424 obd:156082.964329 radiator:153518.133123 delco:145573.589672 stock:145491.419839 kit:143064.276826 towing:142877.911673 inverter:141477.398501 rv:139029.168838 atv:137415.860728 hyundai:135827.215501	
Baby crib:2767006.014215 diaper:2613334.034582 diapers:1294321.157843 seat:1231609.254363 graco:1056204.886289 infant:1002612.876859 carseat:969638.806884 sippy:889682.722752 britax:864575.508629 babies:859136.884795 newborn:854326.236699 medela:775795.945535 nipple:689423.085803 strollers:677265.677431 avent:664563.781472 bassinet:619940.050647 teething:619909.806821 toddler:598529.867621 pacifier:598277.782623 nipples:592234.795680 teether:541446.057535 son:509670.134188 pacifiers:490022.906761 swaddle:484924.918439 bottles:477796.077741 nursery:425314.132358 daughter:424724.290633 gate:416850.458160 seats:394281.192729 potty:385144.947098 blanket:377101.775261 recline:366201.126729 chicco:354142.402973 toys:351432.115475 month:347482.714834 highchair:346421.954184 months:322920.074229 booster:311963.025599 bib:305922.471358 chair:288417.800214 boppy:270995.590755 evenflo:263960.070727 blankets:261617.808061 swaddling:254579.433976 bjorn:254228.593968 loves:252967.616405 wipes:241856.169411 breast:231631.190076 soft:227650.100272 diapering:218673.030827 child:215818.567592 nuk:213726.091451 playtex:212802.746046 bouncer:212650.568598 cute:198622.608727 mattress:197618.189609 swaddled:190372.910744 carrier:190249.224676 prefolds:188044.554206 newborns:187158.664671 teethers:187129.040822 wash:183992.379984 tub:173528.716604 breastfeeding:173149.145550 burp:171323.201394 paci:167435.345390 munchkin:163568.728607 cribs:162277.153914 thirsties:161191.198625 jumperoo:160587.530364 tray:156625.197095 feeding:155420.938925 pail:153522.866820 sleep:153471.129584 latch:152752.296145	
Beauty scent:2670510.829055 shampoo:2641455.677919 lotion:2394770.200826 smells:2326918.457417 conditioner:1947483.731198 fragrance:1789428.650586 smell:1789383.977926 moisturizer:1719658.171217 perfume:1586210.108196 greasy:1509622.486982 makeup:1449583.241575 oily:1428439.458291 dry:1308625.617205 acne:1308573.999333 curly:1149391.829626 cream:1041344.020060 scalp:1024913.606052 mascara:887976.355172 salon:867927.823351 moisturizing:857663.446527 curls:835365.485752 brush:821204.408296 cologne:814128.030738 nail:808439.780874 products:803490.553397 cleanser:792673.072124 serum:769000.901225 bottle:765738.323212 frizzy:741717.846629 lashes:741641.266518 frizz:704893.026525 polish:682268.638751 sunscreen:647788.033810 nails:647124.631699 pores:617609.592305 face:593343.253925 tanning:540955.625023 brushes:539538.241437 soap:537576.098053 spf:485297.068065 oil:483113.051984 lotions:463042.092202 wavy:454346.999723 moisturized:448778.591705 drying:448715.407970 natural:444507.761949 shampoos:441679.246178 breakouts:431030.643325 straightener:430293.254988 silky:408817.361484 concealer:408371.278503 dryer:397947.074693 soft:392286.006083 gel:388288.369849 comb:387815.875179 facial:381860.481081 curling:378956.448545 curl:364928.064449 eyeliner:361302.969678 creams:359930.554868 dries:359394.164234 spray:357223.922653 opi:356994.328124 wash:355595.812900 apply:355511.684007 dermatologist:330354.135326 argan:328908.865057 olay:328318.478014 eyeshadow:319854.790548 lipstick:317646.006592 shiny:317328.324557 color:307434.160540 neutrogena:306149.165769 scents:303743.104592 sensitive:303208.247017	
Book reading:6511960.418725 author:6449585.408071 characters:4708545.125882 written:4401979.618824 reader:2815297.617194 series:2788598.512313 interesting:2611051.686545 writing:2516063.957081 stories:2228317.740778 world:2134031.973799 enjoyed:2106619.743297 pages:2097176.831403 history:1956574.040807 character:1906751.888131 page:1842323.429568 information:1824563.341450 readers:1638877.459692 chapter:1529212.246014 price:1509184.171528 plot:1455491.284129 quality:1379927.697579 authors:1306286.712392 people:1270072.296232 romance:1206105.785688 understand:1183295.736414 fiction:1158239.396618 chapters:1122845.989619 writer:1100666.236071 lives:1100054.923387 learn:1077513.835690 mystery:1069898.943563 end:1068865.394572 loved:1068380.178955 fit:1067912.830123 novels:1056662.994840 works:1031825.889012 ending:1011650.155556 historical:975054.265191 understanding:934267.358184 ideas:915829.176384 relationship:915469.298874 interested:912897.221624 man:910553.861683 god:909916.250498 guide:901070.586869 subject:875127.229623 family:869825.825652 human:868154.386731 bought:865008.451503 young:853777.655291 size:850734.509117 war:844613.589584 tale:806145.837756 fascinating:798145.846141 interest:786659.652681 writes:760766.993547 journey:747014.121828 heart:744617.539185 knowledge:742186.726244 children:742178.655011 insight:739431.958648 woman:732640.899950 text:730010.119741 wait:722371.683608 nice:721905.455231 events:712975.223299 finished:703588.928193 beginning:700283.385291 study:699914.737190 reference:699907.583989 published:697177.682033 perspective:690444.824972 informative:682392.375669 examples:682161.818832 forward:680967.252046	
CDs_and_Vinyl music:13867653.816460 albums:7478577.785599 tracks:6189059.678383 listen:5613551.739376 lyrics:5288439.297134 band:5127848.459919 rock:4401904.784895 vocals:4136920.131011 track:3692081.050140 listening:3539593.169011 heard:3333847.098665 recording:3154237.833263 voice:3024201.046748 sound:2773011.723877 musical:2536030.691181 singing:2374658.515554 recordings:2227123.827433 sounds:2222996.444957 recorded:2191720.590254 singer:2109018.389531 record:2091379.961367 jazz:1970207.272470 tunes:1967486.413135 vocal:1965285.230739 bands:1911778.870564 solo:1888298.915506 hear:1866831.268238 disc:1844873.002765 cds:1794693.205308 sing:1664898.668147 listened:1615022.628299 catchy:1598687.067825 blues:1566781.513012 pop:1558498.938921 concert:1525108.016989 release:1512040.032542 musicians:1440873.284117 piano:1428200.963604 melodies:1365527.882502 melodic:1340034.973205 hits:1336224.391637 fan:1310413.825901 artists:1304472.022418 collection:1266799.794595 fans:1248235.945197 released:1242886.652902 orchestra:1216779.509547 drums:1201594.474200 soundtrack:1176643.039481 sings:1164344.153106 ballad:1135575.834984 instrumental:1109259.644464 singers:1107373.284191 listener:1092148.495824 records:1090515.892085 ballads:1047918.115524 artist:1045490.686968 lp:1021836.063339 chorus:1021716.736239 riffs:1011989.828642 dance:1007571.189480 acoustic:957969.297211 punk:949848.830126 melody:944686.793480 classic:921490.450934 guitars:918380.545610 production:908296.501341 arrangements:900714.940010 live:897968.937284 musically:882302.094274 songwriting:853103.742776 compilation:847327.629622 sung:830472.604295 rap:826641.278976 bass:824740.929864	
Cell_Phones_and_Accessorie iphone:4986037.909177 screen:2305184.708405 protector:2185063.289827 charger:1919809.273723 galaxy:1611753.368013 otterbox:1484260.132850 charge:1305675.636048 protection:1219107.818115 samsung:1188119.203957 phones:1127906.500423 battery:1053765.234448 charging:993243.639032 cases:958231.835717 htc:945923.488022 dropped:878173.172084 protects:867912.023576 protectors:835642.418416 fits:781877.030124 cell:716275.488211 bluetooth:686518.607166 headset:659337.199703 otter:601330.378187 verizon:593054.110002 motorola:548974.085231 cover:532718.141568 stylus:518664.390313 droid:518055.482871 bubbles:483873.705342 bulky:481709.775621 buttons:463549.089780 nokia:451422.241808 lg:444926.196535 protect:438486.707523 blackberry:426538.795614 charges:407782.805343 protective:402714.245319 kickstand:380236.075052 pocket:374744.677043 rubber:368572.975751 protected:347203.834088 holster:342285.559872 chargers:336816.316028 fit:330190.091395 defender:321827.763554 sim:302125.748900 clip:298244.160839 nexus:276157.938605 scratches:275342.532674 razr:265146.938600 charged:262039.558997 rubberized:260434.938000 usb:260147.157960 slim:258810.401511 tpu:246603.922620 drop:245742.441491 silicone:231997.992537 smartphone:231656.406615 sprint:230752.347566 evo:230392.244959 gs:225538.170251 perfectly:222137.356723 plastic:212062.937582 reading:208889.636975 device:205644.898697 ear:203953.026907 spigen:203624.882712 characters:199873.031722 mobile:198768.495102 button:197924.157414 broke:195380.966188 lumia:187693.299992 author:185992.009412 port:185067.700519 iphones:183928.968331 cheap:179048.513515	
Clothing_Shoes_and_Jewelry shoe:4872405.886507 comfortable:4868680.078498 size:3610307.667355 fit:2967593.840207 pair:2521531.943004 boots:2492267.475509 shirt:2029910.800921 wearing:1889482.358068 dress:1767089.007435 earrings:1301218.429434 jeans:1262091.916279 comfy:1230294.251854 feet:1214538.685512 worn:1187749.742000 heel:1072171.041547 wore:1042015.063747 cute:1031800.931636 socks:1025348.215775 sandals:1004127.973186 bra:974095.070897 necklace:973201.698022 costume:937269.353970 sizing:899578.014683 compliments:882475.453867 pants:860752.466940 bracelet:848967.991521 color:788063.166500 leather:752541.714376 toe:714909.764652 fabric:702182.723113 boot:678832.991954 ordered:661415.514584 foot:645882.895521 jewelry:611765.428535 fits:598758.100634 watch:598302.121377 wears:595888.647319 sandal:591273.244447 watches:559348.120457 slippers:558331.246611 sole:548782.508671 nice:525822.619804 pairs:525068.326592 ring:522754.724673 shirts:519095.457847 stylish:507503.117909 warm:505923.060156 waist:499054.583954 pendant:458758.196576 soles:432602.389308 sizes:389383.625487 quality:381605.503431 jacket:379267.851195 narrow:376522.972583 outfit:374247.170445 tight:371391.282730 leggings:371301.128979 arch:366303.794402 hat:362516.126004 reading:359866.687294 small:357454.405839 colors:354722.051457 material:353412.629178 sneakers:352838.756600 ankle:344811.891902 characters:341373.177256 walking:338649.780840 wallet:333686.565993 flattering:332978.146120 wrist:330651.257319 perfect:323920.691397 casual:323324.354028 author:319865.814853 dressy:315103.509052 soft:313123.841907	
Digital_Music music:1654987.474528 lyrics:1143073.238125 listen:922653.596070 albums:544873.823366 heard:536018.859599 voice:496471.539454 listening:418022.659900 catchy:413328.227559 tracks:402810.750088 track:393887.799244 vocals:391450.654571 rock:326896.346594 band:325605.278914 rap:301009.365512 sing:289493.103608 tune:281315.025633 singer:264362.693869 artist:257984.963707 singing:229011.539797 dance:202132.790865 hear:200875.794851 sounds:194331.996042 melody:177384.825286 sound:176626.697869 listened:174457.541080 upbeat:172171.224556 eminem:166775.545872 hop:164180.195154 classic:159503.185901 pop:152060.091972 sings:144801.900116 beats:133604.339418 radio:131169.124381 soulful:127613.159961 vocal:126296.300545 mp:125119.171063 record:124456.920210 musical:121959.645436 artists:118934.883759 tunes:115697.500855 rapper:115520.835197 hip:112989.494200 download:112902.030985 playlist:110381.545869 beat:109742.418841 jazz:107260.376992 chorus:103092.679978 rappers:102076.875272 favorite:98970.263942 soul:97344.343055 remix:96219.966630 hits:94822.012001 ballad:92305.354662 melodies:91892.517903 funk:91333.898619 talent:90049.359110 blues:90018.169098 rendition:89521.338890 piano:89231.036471 sung:86715.833688 instrumental:86361.599834 bands:86197.590046 debut:86166.459311 recording:85738.151381 love:84094.975520 solo:83782.086225 ep:81035.266739 songwriter:76686.077636 mellow:76235.206247 fan:75996.996091 version:75596.921436 singles:69681.237477 melodic:69291.708970 lp:68160.499039 hearing:67407.649580	
Electronic cable:3297573.953805 usb:2704481.945408 computer:2545137.100886 works:1995012.638425 ipad:1852819.413577 gb:1707380.836537 screen:1693851.434773 speakers:1672690.750930 keyboard:1650368.835132 battery:1626618.073466 headphones:1619976.175464 sound:1608451.665448 hdmi:1568877.126469 sony:1549069.903153 tv:1503685.734790 ipod:1498607.472297 adapter:1480862.459927 wireless:1474104.064882 device:1465977.397555 tablet:1405019.745959 drive:1291478.063302 plug:1230921.374351 card:1200368.661908 price:1180773.370853 cables:1180292.801749 pc:1150560.270334 lens:1112409.281455 software:1112163.746824 hd:1109880.365054 windows:1067820.912682 router:1054447.138865 unit:1010207.336658 remote:1003404.048307 mouse:930873.881296 port:896071.588256 player:866973.300529 plugged:864159.096558 signal:858791.678237 macbook:857613.561958 canon:846128.253198 speaker:841690.247319 cord:836689.623309 quality:822439.865803 setup:810718.130061 cameras:779581.106737 sd:761302.997144 mp:734713.177626 audio:725368.819601 video:719767.862142 nikon:716466.863913 external:715750.081592 apple:697886.042867 charger:695293.975330 receiver:694757.323719 lcd:688508.325718 devices:665776.927906 logitech:664699.449157 dell:656988.272177 antenna:656573.462537 desktop:641424.635067 worked:632781.873710 flash:620664.623252 charge:620245.485377 gps:613045.865964 ports:597340.830733 connect:593409.787233 asus:585817.274937 mac:578480.254275 monitor:577213.798988 power:572705.574519 zoom:572271.794856 samsung:571157.791319 digital:571084.449617 bluetooth:566169.129651 system:563644.183255	
Grocery_and_Gourmet_Food delicious:2594829.125196 tastes:2133170.132191 tea:2132567.669952 tasty:1981335.075955 chocolate:1758106.042959 snack:1740664.228047 flavors:1735914.805645 sugar:1653595.427208 tasted:1619130.179280 tasting:1591645.719237 yummy:1036353.895823 sauce:934203.803527 drink:918675.425545 gluten:884693.546519 flavored:853587.159256 organic:823794.234930 coconut:811380.966956 teas:774983.970060 flavorful:742646.667978 syrup:733647.873409 milk:711963.911721 eat:682750.406327 decaf:677215.754349 cup:674330.827085 grocery:671853.529173 cereal:644557.091599 keurig:631106.570224 calories:628296.336425 candy:620168.522842 coffees:615451.424153 salty:609452.887067 yum:608916.678685 roast:574633.388562 cinnamon:529656.562431 spicy:513675.646787 crackers:510726.944393 vanilla:505459.679255 salt:495647.963155 cookies:491557.917357 chewy:470330.079385 sweetener:467455.792147 crunchy:463699.033324 butter:457511.775974 aftertaste:457240.131848 seasoning:442764.208325 texture:420191.973173 peanut:417746.563331 candies:416615.616277 beans:404604.311758 cups:372190.767493 oatmeal:371277.531872 bitter:370222.444530 sodium:368974.524724 caffeine:362440.054717 aroma:358865.450547 breakfast:353963.002501 honey:346346.597903 sweet:345931.329452 fruit:344780.874894 caramel:339608.727434 healthy:335982.081899 stevia:331582.280823 almonds:327781.722940 chai:324231.337547 flavoring:323409.778394 rice:314202.808254 fresh:314101.428872 corn:307571.978366 popcorn:305619.946444 pasta:303319.976189 starbucks:298671.616817 granola:293790.579659 noodles:288645.509468 cheese:282921.225453 hazelnut:282244.398983	
